f_0,tf_0,f_lp_0,tf_lp_0,f_1,tf_1,f_lp_1,tf_lp_1,f_2,tf_2,f_lp_2,tf_lp_2
6.456456e-02,-7.387894e-01,6.456456e-02,3.929032e+01,6.456456e-02,-4.484110e+01,6.456456e-02,1.633086e+01,6.456456e-02,-4.048994e+01,6.456456e-02,5.950292e+00
6.506507e-02,-1.731964e-01,6.506507e-02,3.793213e+01,6.506507e-02,-4.474017e+01,6.506507e-02,1.584089e+01,6.506507e-02,-4.041710e+01,6.506507e-02,5.775516e+00
6.556557e-02,3.989173e-01,6.556557e-02,3.663927e+01,6.556557e-02,-4.463947e+01,6.556557e-02,1.536277e+01,6.556557e-02,-4.034472e+01,6.556557e-02,5.602878e+00
6.606607e-02,9.777461e-01,6.606607e-02,3.540356e+01,6.606607e-02,-4.453899e+01,6.606607e-02,1.489581e+01,6.606607e-02,-4.027280e+01,6.606607e-02,5.432321e+00
6.656657e-02,1.563494e+00,6.656657e-02,3.421838e+01,6.656657e-02,-4.443874e+01,6.656657e-02,1.443937e+01,6.656657e-02,-4.020134e+01,6.656657e-02,5.263788e+00
6.706707e-02,2.156377e+00,6.706707e-02,3.307828e+01,6.706707e-02,-4.433869e+01,6.706707e-02,1.399285e+01,6.706707e-02,-4.013032e+01,6.706707e-02,5.097227e+00
6.756757e-02,2.756619e+00,6.756757e-02,3.197873e+01,6.756757e-02,-4.423884e+01,6.756757e-02,1.355572e+01,6.756757e-02,-4.005974e+01,6.756757e-02,4.932587e+00
6.806807e-02,3.364462e+00,6.806807e-02,3.091590e+01,6.806807e-02,-4.413918e+01,6.806807e-02,1.312751e+01,6.806807e-02,-3.998958e+01,6.806807e-02,4.769820e+00
6.856857e-02,3.980155e+00,6.856857e-02,2.988654e+01,6.856857e-02,-4.403971e+01,6.856857e-02,1.270775e+01,6.856857e-02,-3.991985e+01,6.856857e-02,4.608879e+00
6.906907e-02,4.603966e+00,6.906907e-02,2.888785e+01,6.906907e-02,-4.394041e+01,6.906907e-02,1.229604e+01,6.906907e-02,-3.985054e+01,6.906907e-02,4.449719e+00
6.956957e-02,5.236177e+00,6.956957e-02,2.791740e+01,6.956957e-02,-4.384129e+01,6.956957e-02,1.189199e+01,6.956957e-02,-3.978163e+01,6.956957e-02,4.292296e+00
7.007007e-02,5.877086e+00,7.007007e-02,2.697307e+01,7.007007e-02,-4.374233e+01,7.007007e-02,1.149526e+01,7.007007e-02,-3.971313e+01,7.007007e-02,4.136570e+00
7.057057e-02,6.527011e+00,7.057057e-02,2.605300e+01,7.057057e-02,-4.364353e+01,7.057057e-02,1.110551e+01,7.057057e-02,-3.964502e+01,7.057057e-02,3.982499e+00
7.107107e-02,7.186290e+00,7.107107e-02,2.515552e+01,7.107107e-02,-4.354488e+01,7.107107e-02,1.072245e+01,7.107107e-02,-3.957730e+01,7.107107e-02,3.830045e+00
