f_fp_0,fp_0,f_fp_1,fp_1,f_fp_2,fp_2,f_fp_3,fp_3,f_fp_4,fp_4,f_fp_5,fp_5,f_fp_6,fp_6,f_fp_7,fp_7,f_bb,bb
1.464844e-02,-8.620959e+01,1.464844e-02,-2.326670e+02,1.464844e-02,-2.419681e+02,1.464844e-02,-2.469566e+02,1.464844e-02,-2.490795e+02,1.464844e-02,-2.510328e+02,1.464844e-02,-2.510407e+02,1.464844e-02,-2.542983e+02,1.464844e-02,-8.620958e+01
1.513672e-02,-7.029198e+01,1.513672e-02,-2.302341e+02,1.513672e-02,-2.388143e+02,1.513672e-02,-2.436483e+02,1.513672e-02,-2.486805e+02,1.513672e-02,-2.520296e+02,1.513672e-02,-2.495871e+02,1.513672e-02,-2.532802e+02,1.513672e-02,-7.029198e+01
1.562500e-02,-6.578579e+01,1.562500e-02,-2.291547e+02,1.562500e-02,-2.363660e+02,1.562500e-02,-2.429538e+02,1.562500e-02,-2.479676e+02,1.562500e-02,-2.499806e+02,1.562500e-02,-2.488610e+02,1.562500e-02,-2.513752e+02,1.562500e-02,-6.578579e+01
1.611328e-02,-7.029198e+01,1.611328e-02,-2.308057e+02,1.611328e-02,-2.394408e+02,1.611328e-02,-2.475573e+02,1.611328e-02,-2.487768e+02,1.611328e-02,-2.500867e+02,1.611328e-02,-2.520174e+02,1.611328e-02,-2.519716e+02,1.611328e-02,-7.029198e+01
1.660156e-02,-8.620959e+01,1.660156e-02,-2.315117e+02,1.660156e-02,-2.408950e+02,1.660156e-02,-2.475121e+02,1.660156e-02,-2.487289e+02,1.660156e-02,-2.503873e+02,1.660156e-02,-2.523883e+02,1.660156e-02,-2.544380e+02,1.660156e-02,-8.620956e+01
1.708984e-02,-1.887105e+02,1.708984e-02,-2.315060e+02,1.708984e-02,-2.421710e+02,1.708984e-02,-2.479778e+02,1.708984e-02,-2.474750e+02,1.708984e-02,-2.504622e+02,1.708984e-02,-2.520451e+02,1.708984e-02,-2.525724e+02,1.708984e-02,-1.923120e+02
1.757812e-02,-1.895490e+02,1.757812e-02,-2.326841e+02,1.757812e-02,-2.420832e+02,1.757812e-02,-2.488047e+02,1.757812e-02,-2.483965e+02,1.757812e-02,-2.519591e+02,1.757812e-02,-2.526234e+02,1.757812e-02,-2.525641e+02,1.757812e-02,-1.920730e+02
1.806641e-02,-1.898208e+02,1.806641e-02,-2.334615e+02,1.806641e-02,-2.429095e+02,1.806641e-02,-2.476590e+02,1.806641e-02,-2.502748e+02,1.806641e-02,-2.526266e+02,1.806641e-02,-2.531708e+02,1.806641e-02,-2.533368e+02,1.806641e-02,-1.928846e+02
1.855469e-02,-1.897134e+02,1.855469e-02,-2.311787e+02,1.855469e-02,-2.438435e+02,1.855469e-02,-2.470284e+02,1.855469e-02,-2.494521e+02,1.855469e-02,-2.536359e+02,1.855469e-02,-2.541896e+02,1.855469e-02,-2.538966e+02,1.855469e-02,-1.948996e+02
1.904297e-02,-1.928201e+02,1.904297e-02,-2.304771e+02,1.904297e-02,-2.418724e+02,1.904297e-02,-2.464356e+02,1.904297e-02,-2.499947e+02,1.904297e-02,-2.548204e+02,1.904297e-02,-2.543535e+02,1.904297e-02,-2.543168e+02,1.904297e-02,-1.993690e+02
1.953125e-02,-1.953070e+02,1.953125e-02,-2.302804e+02,1.953125e-02,-2.421265e+02,1.953125e-02,-2.447119e+02,1.953125e-02,-2.510668e+02,1.953125e-02,-2.533668e+02,1.953125e-02,-2.538623e+02,1.953125e-02,-2.533053e+02,1.953125e-02,-2.072345e+02
2.001953e-02,-1.934322e+02,2.001953e-02,-2.295537e+02,2.001953e-02,-2.436199e+02,2.001953e-02,-2.471217e+02,2.001953e-02,-2.516733e+02,2.001953e-02,-2.517893e+02,2.001953e-02,-2.539220e+02,2.001953e-02,-2.543561e+02,2.001953e-02,-2.006858e+02
2.050781e-02,-1.927722e+02,2.050781e-02,-2.297816e+02,2.050781e-02,-2.435320e+02,2.050781e-02,-2.487021e+02,2.050781e-02,-2.523040e+02,2.050781e-02,-2.500771e+02,2.050781e-02,-2.544371e+02,2.050781e-02,-2.541661e+02,2.050781e-02,-1.960427e+02
2.099609e-02,-1.937209e+02,2.099609e-02,-2.297516e+02,2.099609e-02,-2.428499e+02,2.099609e-02,-2.463069e+02,2.099609e-02,-2.523673e+02,2.099609e-02,-2.518320e+02,2.099609e-02,-2.519688e+02,2.099609e-02,-2.535951e+02,2.099609e-02,-1.934122e+02
2.148438e-02,-1.951976e+02,2.148438e-02,-2.294378e+02,2.148438e-02,-2.414426e+02,2.148438e-02,-2.454102e+02,2.148438e-02,-2.501328e+02,2.148438e-02,-2.536558e+02,2.148438e-02,-2.494382e+02,2.148438e-02,-2.540528e+02,2.148438e-02,-1.934368e+02
2.197266e-02,-1.959214e+02,2.197266e-02,-2.287318e+02,2.197266e-02,-2.403662e+02,2.197266e-02,-2.468740e+02,2.197266e-02,-2.487256e+02,2.197266e-02,-2.514963e+02,2.197266e-02,-2.500314e+02,2.197266e-02,-2.538849e+02,2.197266e-02,-1.902475e+02
