f_fp_0,fp_0,f_fp_1,fp_1,f_fp_2,fp_2,f_fp_3,fp_3,f_bb,bb
3.466797e-02,-1.541166e+02,3.466797e-02,-1.737612e+02,3.466797e-02,-1.843840e+02,3.466797e-02,-1.861782e+02,3.466797e-02,-1.568414e+02
3.515625e-02,-1.548456e+02,3.515625e-02,-1.739563e+02,3.515625e-02,-1.823297e+02,3.515625e-02,-1.857367e+02,3.515625e-02,-1.581682e+02
3.564453e-02,-1.534675e+02,3.564453e-02,-1.753613e+02,3.564453e-02,-1.796210e+02,3.564453e-02,-1.850136e+02,3.564453e-02,-1.577950e+02
3.613281e-02,-1.542504e+02,3.613281e-02,-1.747673e+02,3.613281e-02,-1.800014e+02,3.613281e-02,-1.843545e+02,3.613281e-02,-1.590517e+02
3.662109e-02,-1.542022e+02,3.662109e-02,-1.736541e+02,3.662109e-02,-1.818005e+02,3.662109e-02,-1.838905e+02,3.662109e-02,-1.604267e+02
3.710938e-02,-1.541326e+02,3.710938e-02,-1.739266e+02,3.710938e-02,-1.850837e+02,3.710938e-02,-1.840656e+02,3.710938e-02,-1.627535e+02
3.759766e-02,-1.536368e+02,3.759766e-02,-1.734336e+02,3.759766e-02,-1.836856e+02,3.759766e-02,-1.835286e+02,3.759766e-02,-1.645870e+02
3.808594e-02,-1.528430e+02,3.808594e-02,-1.732090e+02,3.808594e-02,-1.811496e+02,3.808594e-02,-1.837715e+02,3.808594e-02,-1.669547e+02
3.857422e-02,-1.529782e+02,3.857422e-02,-1.734467e+02,3.857422e-02,-1.820766e+02,3.857422e-02,-1.823379e+02,3.857422e-02,-1.731129e+02
3.906250e-02,-1.542801e+02,3.906250e-02,-1.740185e+02,3.906250e-02,-1.831961e+02,3.906250e-02,-1.829288e+02,3.906250e-02,-1.766220e+02
3.955078e-02,-1.549579e+02,3.955078e-02,-1.753927e+02,3.955078e-02,-1.832423e+02,3.955078e-02,-1.865383e+02,3.955078e-02,-1.698286e+02
4.003906e-02,-1.559058e+02,4.003906e-02,-1.748184e+02,4.003906e-02,-1.830828e+02,4.003906e-02,-1.880167e+02,4.003906e-02,-1.649570e+02
4.052734e-02,-1.538830e+02,4.052734e-02,-1.749394e+02,4.052734e-02,-1.822799e+02,4.052734e-02,-1.882930e+02,4.052734e-02,-1.609521e+02
4.101562e-02,-1.539248e+02,4.101562e-02,-1.743446e+02,4.101562e-02,-1.818181e+02,4.101562e-02,-1.874463e+02,4.101562e-02,-1.584467e+02
4.150391e-02,-1.566472e+02,4.150391e-02,-1.736919e+02,4.150391e-02,-1.807904e+02,4.150391e-02,-1.862494e+02,4.150391e-02,-1.580302e+02
4.199219e-02,-1.588768e+02,4.199219e-02,-1.741552e+02,4.199219e-02,-1.818627e+02,4.199219e-02,-1.874201e+02,4.199219e-02,-1.596308e+02
4.248047e-02,-1.579486e+02,4.248047e-02,-1.747585e+02,4.248047e-02,-1.820907e+02,4.248047e-02,-1.855682e+02,4.248047e-02,-1.589014e+02
4.296875e-02,-1.588129e+02,4.296875e-02,-1.732516e+02,4.296875e-02,-1.819986e+02,4.296875e-02,-1.842009e+02,4.296875e-02,-1.577999e+02
4.345703e-02,-1.607390e+02,4.345703e-02,-1.733111e+02,4.345703e-02,-1.810675e+02,4.345703e-02,-1.853705e+02,4.345703e-02,-1.555698e+02
4.394531e-02,-1.572462e+02,4.394531e-02,-1.750791e+02,4.394531e-02,-1.801963e+02,4.394531e-02,-1.837459e+02,4.394531e-02,-1.521249e+02
4.443359e-02,-1.562120e+02,4.443359e-02,-1.745714e+02,4.443359e-02,-1.789445e+02,4.443359e-02,-1.832550e+02,4.443359e-02,-1.508336e+02
4.492188e-02,-1.574697e+02,4.492188e-02,-1.753903e+02,4.492188e-02,-1.798565e+02,4.492188e-02,-1.846183e+02,4.492188e-02,-1.516472e+02
4.541016e-02,-1.609018e+02,4.541016e-02,-1.745516e+02,4.541016e-02,-1.816832e+02,4.541016e-02,-1.856915e+02,4.541016e-02,-1.514439e+02
4.589844e-02,-1.632104e+02,4.589844e-02,-1.753975e+02,4.589844e-02,-1.827939e+02,4.589844e-02,-1.859600e+02,4.589844e-02,-1.506719e+02
4.638672e-02,-1.624502e+02,4.638672e-02,-1.744454e+02,4.638672e-02,-1.840732e+02,4.638672e-02,-1.844725e+02,4.638672e-02,-1.497531e+02
4.687500e-02,-1.657839e+02,4.687500e-02,-1.738299e+02,4.687500e-02,-1.850026e+02,4.687500e-02,-1.854399e+02,4.687500e-02,-1.512987e+02
4.736328e-02,-1.699939e+02,4.736328e-02,-1.744179e+02,4.736328e-02,-1.824961e+02,4.736328e-02,-1.855583e+02,4.736328e-02,-1.545802e+02
4.785156e-02,-1.703931e+02,4.785156e-02,-1.742357e+02,4.785156e-02,-1.805389e+02,4.785156e-02,-1.864496e+02,4.785156e-02,-1.513652e+02
4.833984e-02,-1.737691e+02,4.833984e-02,-1.750992e+02,4.833984e-02,-1.805169e+02,4.833984e-02,-1.870520e+02,4.833984e-02,-1.519745e+02
4.882812e-02,-1.732000e+02,4.882812e-02,-1.736694e+02,4.882812e-02,-1.802943e+02,4.882812e-02,-1.864220e+02,4.882812e-02,-1.518738e+02
4.931641e-02,-1.719011e+02,4.931641e-02,-1.728716e+02,4.931641e-02,-1.799156e+02,4.931641e-02,-1.862005e+02,4.931641e-02,-1.484128e+02
4.980469e-02,-1.692157e+02,4.980469e-02,-1.731555e+02,4.980469e-02,-1.801583e+02,4.980469e-02,-1.859608e+02,4.980469e-02,-1.469757e+02
5.029297e-02,-1.685629e+02,5.029297e-02,-1.728730e+02,5.029297e-02,-1.813513e+02,5.029297e-02,-1.881406e+02,5.029297e-02,-1.475956e+02
5.078125e-02,-1.660934e+02,5.078125e-02,-1.730095e+02,5.078125e-02,-1.811399e+02,5.078125e-02,-1.876627e+02,5.078125e-02,-1.487884e+02
5.126953e-02,-1.634789e+02,5.126953e-02,-1.746465e+02,5.126953e-02,-1.813100e+02,5.126953e-02,-1.847569e+02,5.126953e-02,-1.507312e+02
5.175781e-02,-1.605445e+02,5.175781e-02,-1.762738e+02,5.175781e-02,-1.828162e+02,5.175781e-02,-1.846369e+02,5.175781e-02,-1.504269e+02
5.224609e-02,-1.594619e+02,5.224609e-02,-1.756581e+02,5.224609e-02,-1.842796e+02,5.224609e-02,-1.860541e+02,5.224609e-02,-1.503274e+02
5.273438e-02,-1.603711e+02,5.273438e-02,-1.747161e+02,5.273438e-02,-1.836871e+02,5.273438e-02,-1.849842e+02,5.273438e-02,-1.500623e+02
5.322266e-02,-1.608266e+02,5.322266e-02,-1.731804e+02,5.322266e-02,-1.821340e+02,5.322266e-02,-1.844934e+02,5.322266e-02,-1.513011e+02
5.371094e-02,-1.616021e+02,5.371094e-02,-1.741497e+02,5.371094e-02,-1.820124e+02,5.371094e-02,-1.839974e+02,5.371094e-02,-1.528677e+02
5.419922e-02,-1.598461e+02,5.419922e-02,-1.773015e+02,5.419922e-02,-1.805561e+02,5.419922e-02,-1.861828e+02,5.419922e-02,-1.530262e+02
